word,element_number,duration,relative_duration,discourse,speaker,pitch,relative_pitch,intensity,relative_intensity
logan,8,0.40000000000000036,0.15669669709106845,suborq_207_7_1,suborq_207,90.79838709677419,-1.0870341064714064,48.23875,-0.2783210927822649
logan,3,0.5199999999999998,1.163891165644024,suborq_207_7_3,suborq_207,197.42625,0.4276753990403848,56.893846153846155,0.5029161494203772
logan,8,0.5399999999999991,1.3202358368177296,suborq_207_7_2,suborq_207,168.6678947368421,0.0811597076889183,48.223333333333336,-0.47798818312271435
marion,6,0.4400000000000004,-0.2590084038655806,suborq_207_5_3,suborq_207,186.1517142857143,0.20638610455335035,53.01386363636364,-0.1259856523623852
marion,6,0.46999999999999975,-0.15699584267658365,suborq_207_5_2,suborq_207,197.84916666666666,0.3638847305515542,55.009574468085106,0.14704651233964505
marion,1,0.4800000000000002,0.01900863055800668,suborq_207_6_1,suborq_207,215.84326086956523,0.6541205423957772,63.83979166666667,0.9067223012652572
marion,2,0.44999999999999973,-0.25920023227234334,suborq_207_5_4,suborq_207,189.20305555555555,0.22746554580541603,54.154444444444444,-0.013533646881226932
marion,1,0.56,0.4362736375044335,suborq_207_5_2,suborq_207,174.0017777777778,-0.06719525960404804,57.51535714285714,0.3465895519441361
marion,1,0.53,0.23001541019783112,suborq_207_5_1,suborq_207,171.53576923076923,-0.09038041344018974,61.57396226415094,0.45585755062832883
marion,6,0.4800000000000004,-0.047209959177696825,suborq_207_5_1,suborq_207,209.04631578947368,0.5646472828130293,58.22354166666667,0.4396209254619134
marion,2,0.4299999999999997,-0.41049447809364137,suborq_207_6_4,suborq_207,190.4009756097561,0.2594197803886984,59.905116279069766,0.41717762343474374
marion,1,0.52,0.19214226670264378,suborq_207_6_2,suborq_207,185.6390909090909,0.1392341519021106,55.449615384615385,-0.08827974369353099
marion,6,0.5299999999999994,0.19229858688544688,suborq_207_6_1,suborq_207,195.15170731707317,0.323520287570506,59.77811320754717,0.573630196029739
marion,6,0.4499999999999993,-0.18433825310990481,suborq_207_6_2,suborq_207,141.8962162162162,-0.5968994887463737,52.878,-0.2368209015559794
marion,6,0.5200000000000005,0.1742180864996004,suborq_207_6_3,suborq_207,193.59953488372093,0.3196312809162752,57.03826923076923,0.23868570431092662
marion,6,0.4400000000000004,-0.2727402693019235,suborq_207_1_2,suborq_207,199.72272727272727,0.4308727214479037,55.66795454545455,0.28596950156728684
marion,6,0.46999999999999975,-0.21774472299840675,suborq_207_1_3,suborq_207,150.29297297297296,-0.4088805263891425,51.06553191489362,-0.4240404616704528
marion,1,0.5299999999999999,0.17748561438487234,suborq_207_1_1,suborq_207,190.6696,0.26409192065407744,62.031132075471696,0.6408031058369047
marion,6,0.5300000000000002,0.19662044700470238,suborq_207_1_1,suborq_207,189.68777777777777,0.23750245152320237,58.5788679245283,0.3511597922460991
marion,1,0.45999999999999985,-0.22885986280576984,suborq_207_1_2,suborq_207,122.03954545454545,-0.8570715700583501,64.35630434782608,0.9508443626864332
marion,6,0.5100000000000007,0.257342363240104,suborq_207_2_3,suborq_207,179.54567567567568,0.09284640716376388,50.37764705882353,-0.7037098900735199
marion,2,0.41999999999999993,-0.42286726503180433,suborq_207_2_4,suborq_207,190.68933333333334,0.2506148759810155,53.54333333333334,-0.09879935216550119
marion,2,0.46999999999999975,-0.13050017536291292,suborq_207_1_4,suborq_207,96.092,-1.3939048708193738,56.08446808510638,0.13584285221398154
marion,6,0.4599999999999995,-0.047946904461190654,suborq_207_2_2,suborq_207,171.12413043478261,-0.04707863052393585,60.47413043478261,0.498754351300606
marion,1,0.44999999999999996,-0.1990417585860839,suborq_207_2_2,suborq_207,199.0502380952381,0.42760137543239396,60.04555555555555,0.44577606312802076
dillon,1,0.29000000000000004,-0.16890407991565118,suborq_207_4_4,suborq_207,191.66034482758621,0.21990541427738103,58.16448275862069,0.374655139388051
dillon,1,0.32000000000000006,0.1316637505520478,suborq_207_4_1,suborq_207,197.0671875,0.28771393150951247,61.058125,0.6034447895572368
dillon,1,0.27,-0.2641321581938963,suborq_207_3_4,suborq_207,182.31346153846152,0.01967491655090595,61.07296296296296,0.6675621394755634
dillon,5,0.46999999999999975,1.1201429357290218,suborq_207_4_3,suborq_207,131.6290909090909,-0.7678732070974247,59.51106382978723,0.44650832381164857
dillon,3,0.40000000000000013,0.7535073672187786,suborq_207_4_2,suborq_207,89.1072,-1.6005282073401832,48.83125,-0.4809401010957225
dillon,3,0.3400000000000001,0.2700896871407449,suborq_207_3_2,suborq_207,190.49681818181818,0.08754364112253357,49.95235294117647,-0.4037335996527134
dillon,5,0.31000000000000005,-0.0978499650965606,suborq_207_3_1,suborq_207,151.77322580645162,-0.5215323968156124,58.685483870967744,0.30366993199431974
dillon,1,0.38,0.5859189260951896,suborq_207_3_3,suborq_207,210.11925925925925,0.5111346033154204,55.522894736842105,0.3450921275337261
marvin,8,0.4299999999999997,0.09703502801763886,suborq_207_1_2,suborq_207,137.25366666666667,-0.5179792850691505,53.2906976744186,0.12369506412866754
marvin,8,0.41000000000000014,-0.02504544692277727,suborq_207_1_3,suborq_207,176.63838709677418,0.14472533612150765,52.138536585365856,-0.2582265229770089
marvin,3,0.52,0.6017729426752574,suborq_207_1_3,suborq_207,184.54341463414633,0.09536074137528829,52.07923076923077,-0.3399902205750681
marvin,8,0.46999999999999975,0.25422418210111847,suborq_207_1_1,suborq_207,175.16585365853658,-0.018896792414646753,57.80106382978723,0.3727867606471688
marvin,3,0.49,0.3296578895251052,suborq_207_1_1,suborq_207,175.32750000000001,-0.03680370738401155,59.29632653061225,0.6227471127073082
marvin,3,0.41000000000000014,-0.10109899268164672,suborq_207_2_3,suborq_207,182.2344827586207,0.17543541559958606,52.18585365853659,-0.38566853562520953
marvin,4,0.43999999999999995,0.13954334650060185,suborq_207_2_4,suborq_207,86.4407142857143,-1.456975022285867,51.223409090909094,-0.248067407724474
marvin,8,0.4299999999999997,0.04602741075054817,suborq_207_2_3,suborq_207,163.23419354838708,-0.17036376101287512,48.384651162790696,-0.6288514202656444
marvin,4,0.3700000000000001,-0.3591195849916632,suborq_207_1_4,suborq_207,82.01576923076924,-1.601018485588672,50.7427027027027,-0.3049676982530485
marvin,8,0.54,0.7711291710253048,suborq_207_2_2,suborq_207,133.812,-0.5678241353215232,47.52444444444444,-0.5130939106163875
