"discourse_list","speakers","X1","X2","X3","target","f0_s1","f0_s2"
"suborn_1067_1_3",1,0.185185185185185,1.18518518518519,2.2,2,0.93216260450781,-0.153505381686581
"suborn_1067_1_4",1,0.166666666666666,1.16666666666667,2.22222222222222,2,0.25589684796308,0.523512135768007
"suborn_1067_2_1",1,0.185185185185186,1.16666666666667,2.2,1,0.206946640777779,0.0935089742263317
"suborn_1067_2_2",1,0.166666666666667,1.22222222222222,2.2,1,-0.34622036195702,0.738467114058581
"suborn_1067_2_3",1,0.185185185185185,1.16666666666667,2.2,1,-0.399982471829275,-0.302753035014055
"suborn_1067_2_4",1,0.185185185185185,1.16666666666667,2.2,1,-0.542446226118616,0.28551966781036
"suborn_107_1_1",2,0.166666666666667,1.16666666666667,2.2,2,0.399349777482912,-0.236562939197336
"suborn_107_1_4",2,0.185185185185185,1.18518518518519,2.2,2,0.115639139957012,0.26122623212518
"suborn_107_2_2",2,0.185185185185185,1.18518518518519,2.22222222222222,1,-2.18237282066942,1.26663299218141
"suborn_107_2_3",2,0.185185185185186,1.16666666666667,2.22222222222222,1,0.9114108710323,1.42880787195032
"suborn_107_2_4",2,0.166666666666666,1.18518518518519,2.22222222222222,1,-0.0616097803198054,-0.134334287533947
"suborn_1141_1_1",3,0.166666666666667,1.16666666666667,2.2,2,0.794952252109686,0.0693640472049019
"suborn_1141_1_2",3,0.166666666666667,1.16666666666667,2.2,2,0.647509323519418,0.0332100064716862
"suborn_1141_1_4",3,0.166666666666666,1.16666666666667,2.22222222222222,2,1.08560229670197,0.77158725324108
"suborn_1141_2_1",3,0.166666666666667,1.18518518518519,2.22222222222222,1,-0.438042361660963,-1.42685901618175
"suborn_1141_2_2",3,0.185185185185186,1.16666666666667,2.22222222222222,1,1.12255638134276,0.637326195807949
"suborn_1141_2_3",3,0.166666666666667,1.16666666666667,2.2,1,-0.3412692591287,0.53528507948918
"suborn_1141_2_4",3,0.166666666666666,1.18518518518519,2.22222222222222,1,0.117253657712281,-0.137327003812252
"suborn_1224_1_2",5,0.185185185185185,1.16666666666667,2.2,2,0.250706330075011,0.185792676008651
"suborn_1224_2_1",5,0.185185185185185,1.18518518518519,2.2,1,0.349747212624825,0.317132401405245
"suborn_1243_1_1",10,0.185185185185185,1.16666666666667,2.2,2,-0.138528312396824,-0.280260155580885
"suborn_1243_1_4",10,0.166666666666666,1.16666666666667,2.2,2,0.21647702346273,0.065861166736002
"suborn_1243_2_1",10,0.185185185185186,1.16666666666667,2.2,1,0.967027095385731,-0.121596552672339
"suborn_1243_2_2",10,0.185185185185185,1.18518518518518,2.2,1,-0.519644303459657,0.690228917120602
"suborn_1243_2_4",10,0.185185185185185,1.18518518518518,2.2,1,0.480324339786749,0.194900845708613
"suborn_1244_1_1",11,0.166666666666667,1.18518518518519,2.2,2,-1.70840619917643,0.45136899356418
"suborn_1244_1_2",11,0.166666666666667,1.16666666666667,2.24444444444445,2,-2.04795032170427,1.29398100303782
"suborn_1244_1_3",11,0.166666666666667,1.16666666666667,2.2,2,-0.60867345194701,0.30797399524511
"suborn_1244_1_4",11,0.166666666666666,1.16666666666667,2.2,2,-0.532024483847635,-0.384598990877893
"suborn_1244_2_1",11,0.166666666666667,1.18518518518518,2.22222222222222,1,0.102523429238397,0.28491131886401
"suborn_1244_2_2",11,0.185185185185185,1.18518518518519,2.22222222222222,1,-0.00629729368415705,-0.0518512643409303
"suborn_1244_2_3",11,0.185185185185185,1.33333333333333,2.2,1,-0.641639784951493,-1.27643961668508
"suborn_1244_2_4",11,0.166666666666666,1.18518518518518,2.22222222222222,1,0.749821130494368,1.051558427644
