"discourse_list","speakers","X1","X2","X3","structure","f0_s1","f0_s2"
"suborn_1067_1_3","1067",0.185185185185185,1.18518518518519,2.2,2,0.225421571142574,-0.177229864579764
"suborn_1067_1_4","1067",0.166666666666666,1.16666666666667,2.22222222222222,2,-0.145545737384861,0.545484346639479
"suborn_1067_2_1","1067",0.185185185185186,1.16666666666667,2.2,1,-0.127065584111715,0.179860836779293
"suborn_1067_2_2","1067",0.166666666666667,1.22222222222222,2.2,1,-0.918348245897827,0.856772595631289
"suborn_1067_2_3","1067",0.185185185185185,1.16666666666667,2.2,1,-0.93552009567473,-0.438671120180396
"suborn_1067_2_4","1067",0.185185185185185,1.16666666666667,2.2,1,-1.02849649759791,0.656611256867694
"suborn_107_1_1","107",0.166666666666667,1.16666666666667,2.2,2,0.231900487234321,-0.098477727082616
"suborn_107_1_4","107",0.185185185185185,1.18518518518519,2.2,2,-0.11201461360618,0.284851520737991
"suborn_107_2_2","107",0.185185185185185,1.18518518518519,2.22222222222222,1,-2.57603756016595,1.17508824313472
"suborn_107_2_3","107",0.185185185185186,1.16666666666667,2.22222222222222,1,0.254440319089514,1.42284591619326
"suborn_107_2_4","107",0.166666666666666,1.18518518518519,2.22222222222222,1,-0.251039881072458,-0.0388828375720901
"suborn_1141_1_1","1141",0.166666666666667,1.16666666666667,2.2,2,0.510460312434851,0.557974085415464
"suborn_1141_1_2","1141",0.166666666666667,1.16666666666667,2.2,2,0.121166064725974,0.311818154480236
"suborn_1141_1_4","1141",0.166666666666666,1.16666666666667,2.22222222222222,2,0.634168410189233,0.906460963768164
"suborn_1141_2_1","1141",0.166666666666667,1.18518518518519,2.22222222222222,1,0.00188624119689995,-1.46555945248938
"suborn_1141_2_2","1141",0.185185185185186,1.16666666666667,2.22222222222222,1,0.555982370827501,0.883364219159573
"suborn_1141_2_3","1141",0.166666666666667,1.16666666666667,2.2,1,-1.06660748597763,0.884759590899592
"suborn_1141_2_4","1141",0.166666666666666,1.18518518518519,2.22222222222222,1,0.0366484050872765,-0.284993980945656
"suborn_1224_1_2","1224",0.185185185185185,1.16666666666667,2.2,2,-0.680229129464716,-0.211242632254183
"suborn_1224_2_1","1224",0.185185185185185,1.18518518518519,2.2,1,-0.471806803263913,0.0231819038673237
"suborn_1243_1_1","1243",0.185185185185185,1.16666666666667,2.2,2,-0.609602806219031,-0.734731041737106
"suborn_1243_1_4","1243",0.166666666666666,1.16666666666667,2.2,2,-0.124468901252048,0.0271421399460587
"suborn_1243_2_1","1243",0.185185185185186,1.16666666666667,2.2,1,0.678868433118873,-0.22632856935579
"suborn_1243_2_2","1243",0.185185185185185,1.18518518518518,2.2,1,-2.65482542261078,2.30341090192904
"suborn_1243_2_4","1243",0.185185185185185,1.18518518518518,2.2,1,0.100683702791352,0.179881814500663
"suborn_1244_1_1","1244",0.166666666666667,1.18518518518519,2.2,2,-1.97083484663925,0.561109498389237
"suborn_1244_1_2","1244",0.166666666666667,1.16666666666667,2.24444444444445,2,-3.38756861630251,1.88839034903513
"suborn_1244_1_3","1244",0.166666666666667,1.16666666666667,2.2,2,-1.43207311050645,0.666391383799331
"suborn_1244_1_4","1244",0.166666666666666,1.16666666666667,2.2,2,-0.638046358533061,-0.344315908212765
"suborn_1244_2_1","1244",0.166666666666667,1.18518518518518,2.22222222222222,1,0.117948746417887,0.354453381300321
"suborn_1244_2_2","1244",0.185185185185185,1.18518518518519,2.22222222222222,1,-0.0157924898828853,0.0345248282058358
"suborn_1244_2_3","1244",0.185185185185185,1.33333333333333,2.2,1,0.0084431563323849,-0.920926944903922
"suborn_1244_2_4","1244",0.166666666666666,1.18518518518518,2.22222222222222,1,0.407018320708289,1.78687468450982
"suborn_1253_1_1","1253",0.166666666666667,1.16666666666667,2.22222222222222,2,0.57005783713637,0.390615381070195
"suborn_1253_1_2","1253",0.166666666666667,1.18518518518519,2.2,2,0.642623135564293,0.578506526087862
"suborn_1253_1_3","1253",0.166666666666667,1.18518518518519,2.2,2,-2.30798619275877,0.357640672481158
"suborn_1253_1_4","1253",0.185185185185185,1.18518518518519,2.2,2,0.204437040343108,0.893911250146777
"suborn_1253_2_1","1253",0.185185185185186,1.16666666666667,2.2,1,0.190612442861832,0.202109213177082
