"discourse_list","speakers","X1","X2","X3","target","f0_s1","f0_s2"
"suborn_1067_1_3",1,0.185185185185185,1.18518518518519,2.2,1,0.212265312676297,-0.195078514685822
"suborn_1067_1_4",1,0.166666666666666,1.16666666666667,2.22222222222222,1,-0.0195454406370183,0.599331285796892
"suborn_1067_2_1",1,0.185185185185186,1.16666666666667,2.2,1,0.184381124036463,0.243246986449288
"suborn_1067_2_2",1,0.166666666666667,1.22222222222222,2.2,1,-0.763435282797036,0.767868375551404
"suborn_1067_2_3",1,0.185185185185185,1.16666666666667,2.2,1,-1.00686511242983,-0.385963971028136
"suborn_1067_2_4",1,0.185185185185185,1.16666666666667,2.2,1,-0.725917434791624,0.269108275108923
"suborn_107_1_1",2,0.166666666666667,1.16666666666667,2.2,1,0.193926141935512,-0.110768602004113
"suborn_107_1_4",2,0.185185185185185,1.18518518518519,2.2,1,-0.178200073723963,0.301990208000274
"suborn_107_2_2",2,0.185185185185185,1.18518518518519,2.22222222222222,1,-2.70636215425104,1.17386095116285
"suborn_107_2_3",2,0.185185185185186,1.16666666666667,2.22222222222222,1,0.202074975669763,1.34738761277255
"suborn_107_2_4",2,0.166666666666666,1.18518518518519,2.22222222222222,1,-0.230078490037487,-0.201787206515392
"suborn_1141_1_1",3,0.166666666666667,1.16666666666667,2.2,1,0.568270452129517,0.308556772808798
"suborn_1141_1_2",3,0.166666666666667,1.16666666666667,2.2,1,0.150012000329857,0.156300904883608
"suborn_1141_1_4",3,0.166666666666666,1.16666666666667,2.22222222222222,1,0.764362612082888,0.936274921461112
"suborn_1141_2_1",3,0.166666666666667,1.18518518518519,2.22222222222222,1,-0.406645368366803,-1.28905786730805
"suborn_1141_2_2",3,0.185185185185186,1.16666666666667,2.22222222222222,1,0.657054407775099,0.807488421105602
"suborn_1141_2_3",3,0.166666666666667,1.16666666666667,2.2,1,-1.0814125332866,0.512875356624815
"suborn_1141_2_4",3,0.166666666666666,1.18518518518519,2.22222222222222,1,0.00988237437228861,-0.186248780272778
"suborn_1224_1_2",5,0.185185185185185,1.16666666666667,2.2,1,-0.255965739129117,0.213884936803037
"suborn_1224_2_1",5,0.185185185185185,1.18518518518519,2.2,1,0.256721865280375,0.44134252272958
"suborn_1243_1_1",10,0.185185185185185,1.16666666666667,2.2,1,-0.351186888133964,-0.306644600599127
"suborn_1243_1_4",10,0.166666666666666,1.16666666666667,2.2,1,-0.0565782973411949,0.136484692602997
"suborn_1243_2_1",10,0.185185185185186,1.16666666666667,2.2,1,0.963996910723196,-0.0313269887386974
"suborn_1243_2_2",10,0.185185185185185,1.18518518518518,2.2,1,-0.903639687730547,0.588510669797073
"suborn_1243_2_4",10,0.185185185185185,1.18518518518518,2.2,1,0.297131989538169,0.166127440293036
"suborn_1244_1_1",11,0.166666666666667,1.18518518518519,2.2,1,-1.92778176771709,0.437737193426062
"suborn_1244_1_2",11,0.166666666666667,1.16666666666667,2.24444444444445,1,-2.51191473434372,1.10995945174434
"suborn_1244_1_3",11,0.166666666666667,1.16666666666667,2.2,1,-1.42794389794429,0.264815848481454
"suborn_1244_1_4",11,0.166666666666666,1.16666666666667,2.2,1,-0.753771430451328,-0.405397149620483
"suborn_1244_2_1",11,0.166666666666667,1.18518518518518,2.22222222222222,1,0.0164641539246352,0.422561401447266
"suborn_1244_2_2",11,0.185185185185185,1.18518518518519,2.22222222222222,1,-0.367146756326794,-0.054185131894756
"suborn_1244_2_3",11,0.185185185185185,1.33333333333333,2.2,1,-1.22107438778528,-1.41026418771588
"suborn_1244_2_4",11,0.166666666666666,1.18518518518518,2.22222222222222,1,0.446104127984004,1.13104319697543
"suborn_1253_1_1",12,0.166666666666667,1.16666666666667,2.22222222222222,1,0.607473793099156,0.337666175893905
"suborn_1253_1_2",12,0.166666666666667,1.18518518518519,2.2,1,0.558231956703866,0.297326168432896
"suborn_1253_1_3",12,0.166666666666667,1.18518518518519,2.2,1,-2.37065707315491,0.368600796769026
"suborn_1253_1_4",12,0.185185185185185,1.18518518518519,2.2,1,0.218682115651424,0.751474792522661
"suborn_1253_2_1",12,0.185185185185186,1.16666666666667,2.2,1,0.202570105408871,0.277899638758657
"suborn_1253_2_2",12,0.166666666666667,1.16666666666667,2.2,1,0.356226212300425,-0.136727572549614
"suborn_1253_2_3",12,0.185185185185186,1.16666666666667,2.2,1,-0.115184922859214,-0.0589709419121775
"suborn_1253_2_4",12,0.166666666666666,1.16666666666667,2.22222222222222,1,-0.513638397492613,-0.392817147952819
"suborn_1254_1_1",13,0.185185185185186,1.16666666666667,2.2,1,-0.801887698824416,-0.120533987243689
"suborn_1254_1_2",13,0.185185185185185,1.18518518518518,2.22222222222222,1,-1.17596895079805,0.371672468338092
"suborn_1254_1_3",13,0.166666666666667,1.18518518518519,2.2,1,0.237209071307745,0.0176417795711074
"suborn_1254_2_1",13,0.185185185185186,1.16666666666667,2.2,1,-1.09322566933517,0.616921483238366
"suborn_1254_2_2",13,0.185185185185184,1.18518518518519,2.28888888888889,1,-0.740743486232129,0.534439417177956
"suborn_1254_2_3",13,0.185185185185185,1.16666666666667,2.22222222222222,1,-1.45349923183933,-1.307469856674
