experiment,participant,item,condition,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
suborq,28,7,3,11,LOGAN,5,0.350,0,0.350,6.56,171.518,261.67,0.299,131.10,0.136,142.689,140.412,156.668,250.679,52.589,60.416
suborq,28,7,3,12,OR,2,0.110,0.050,0.160,6.91,173.187,230.93,0,132.57,0.105,218.543,185.197,152.354,136.653,54.857,57.635
suborq,28,7,3,13,MOLLY,4,0.280,0,0.280,7.07,178.335,253.81,0.253,132.52,0.097,137.059,140.187,189.558,246.538,55.695,60.126
suborq,28,7,3,14,NOMINATED,9,0.720,0.080,0.800,7.48,183.205,318.84,0.689,123.32,0.501,128.636,199.729,171.280,238.106,52.334,59.471
suborq,28,7,4,1,THAT,3,0.120,0,0.120,0.31,194.058,219.52,0,152.54,0.090,212.111,201.290,175.849,152.537,60.765,69.843
suborq,28,7,4,2,SALLY,4,0.310,0,0.310,0.43,188.695,202.51,0.080,171.06,0.310,202.506,194.166,189.748,181.746,64.044,68.844
suborq,28,7,4,7,WAS,3,0.160,0,0.160,0.74,158.335,171.06,0,149.74,0.090,163.616,155.797,151.076,--undefined--,59.352,62.297
suborq,28,7,4,8,THAT,3,0.180,0,0.180,3.52,318.735,340.52,0.082,297.31,0.120,--undefined--,328.982,311.473,--undefined--,50.359,62.175
suborq,28,7,4,9,MARJORIE,6,0.650,0.120,0.770,3.7,151.137,181.34,0.275,132.67,0.030,143.399,165.364,149.533,143.258,54.328,60.332
suborq,28,7,4,10,AND,3,0.140,0,0.140,4.47,145.269,152.22,0.140,138.09,0.112,--undefined--,150.233,143.935,141.656,52.150,55.371
suborq,28,7,4,11,LOGAN,5,0.380,0.060,0.440,4.61,155.847,174.03,0.348,134.40,0.195,154.442,146.984,154.501,168.613,54.590,63.831
suborq,28,7,4,12,OR,2,0.100,0,0.100,5.05,156.169,163.50,0.020,143.60,0.100,163.232,161.373,156.091,148.249,51.424,55.773
suborq,28,7,4,13,MOLLY,4,0.340,0,0.340,5.15,173.708,203.15,0.277,143.56,0.0002,152.007,166.561,188.699,187.565,57.502,61.536
suborq,28,7,4,14,NOMINATED,9,0.670,0.070,0.740,5.61,149.656,214.57,0.286,83.83,0.610,139.275,191.727,139.335,100.363,52.677,58.314
suborq,28,8,1,1,THAT,3,0.120,0,0.120,1.02,224.714,238.42,0.044,207.91,0.004,208.873,233.734,220.575,--undefined--,58.647,69.530
suborq,28,8,1,2,MARJORIE,6,0.470,0,0.470,1.14,205.046,241.41,0.366,170.49,0.061,173.817,195.507,216.976,236.481,58.522,67.465
suborq,28,8,1,3,AND,3,0.150,0,0.150,1.61,188.760,224.42,0,156.31,0.141,214.999,198.355,180.888,160.799,58.912,64.580
suborq,28,8,1,4,LOGAN,5,0.320,0.030,0.350,1.76,169.584,193.83,0.276,143.92,0.144,159.360,158.523,184.765,188.447,55.924,65.406
suborq,28,8,1,5,OR,2,0.110,0,0.110,2.11,160.315,177.59,0.024,147.13,0.110,177.142,167.330,156.821,151.795,53.946,59.545
suborq,28,8,1,6,SALLY,4,0.360,0,0.360,2.22,171.676,198.30,0.327,143.76,0.004,144.544,149.288,165.506,190.775,60.001,71.338
suborq,28,8,1,7,WERE,2,0.100,0,0.100,2.58,154.677,183.47,0,141.92,0.077,173.148,156.841,145.731,142.991,60.050,61.060
suborq,28,8,1,8,THAT,3,0.300,0.270,0.570,5.36,158.478,184.80,0.300,140.12,0.144,166.520,150.127,--undefined--,184.801,48.695,65.990
suborq,28,8,1,9,MARJORIE,6,0.620,0.110,0.730,5.93,179.806,286.07,0.239,137.48,0.387,170.159,248.741,140.850,155.268,56.699,63.726
suborq,28,8,1,10,AND,3,0.170,0.100,0.270,6.66,156.053,160.32,0.041,145.85,0.134,159.051,156.813,155.937,147.869,52.681,59.309
suborq,28,8,1,11,LOGAN,5,0.420,0,0.420,6.93,170.540,214.72,0.353,142.22,0.184,154.561,149.089,180.690,203.981,52.007,62.138
suborq,28,8,1,12,OR,2,0.110,0,0.110,7.35,176.550,184.05,0.034,170.85,0.101,--undefined--,182.671,175.499,171.888,51.973,58.401
suborq,28,8,1,13,MOLLY,4,0.310,0,0.310,7.46,215.315,273.03,0.223,168.95,0.045,171.987,191.580,254.211,243.481,58.511,63.477
suborq,28,8,1,14,NOMINATED,9,0.600,0.090,0.690,7.9,131.384,142.12,0.073,118.72,0.544,135.610,130.455,129.838,126.063,49.554,54.352
suborq,28,8,2,1,THAT,3,0.120,0,0.120,0.99,190.089,225.08,0.019,145.19,0.117,220.453,210.181,179.549,150.175,59.951,69.439
suborq,28,8,2,2,MARJORIE,6,0.500,0,0.500,1.11,173.785,195.03,0.270,146.08,0,169.360,180.943,185.427,161.901,58.498,65.469
suborq,28,8,2,3,AND,3,0.140,0,0.140,1.61,153.402,160.93,0.052,144.51,0.122,--undefined--,158.980,152.874,148.512,51.318,58.225
suborq,28,8,2,4,SALLY,4,0.440,0.020,0.460,1.75,142.001,154.53,0.132,130.80,0.245,--undefined--,143.433,136.102,147.917,59.980,65.204
suborq,28,8,2,5,OR,2,0.100,0,0.100,2.21,148.481,155.58,0.032,140.52,0.100,--undefined--,154.133,148.867,142.943,50.063,55.835
suborq,28,8,2,6,MOLLY,4,0.370,0,0.370,2.31,148.014,156.75,0.241,140.43,0,143.706,148.782,154.312,145.255,56.964,60.780
suborq,28,8,2,7,WERE,2,0.120,0,0.120,2.68,143.522,146.92,0.061,140.10,0.031,143.239,143.406,143.685,143.756,54.506,57.117
suborq,28,8,2,8,THAT,3,0.190,0.050,0.240,5.85,136.646,144.38,0.072,130.94,0.132,--undefined--,142.215,132.981,--undefined--,53.102,64.088
suborq,28,8,2,9,MARJORIE,6,0.560,0,0.560,6.09,161.424,183.63,0.491,139.13,0.133,142.624,154.720,173.441,178.872,55.856,62.606
suborq,28,8,2,10,AND,3,0.170,0.080,0.250,6.65,157.333,168.45,0.089,139.85,0.152,--undefined--,167.971,163.197,146.155,48.857,59.147
suborq,28,8,2,11,LOGAN,5,0.390,0.050,0.440,6.9,158.170,200.47,0.390,137.05,0.141,151.170,140.868,144.120,187.289,49.693,59.774
suborq,28,8,2,12,OR,2,0.090,0,0.090,7.34,168.945,179.45,0.022,158.35,0.090,179.441,174.051,168.249,162.066,51.222,55.231
suborq,28,8,2,13,MOLLY,4,0.340,0,0.340,7.43,185.685,227.57,0.245,153.66,0.058,156.252,173.062,215.762,197.665,57.465,61.491
suborq,28,8,2,14,NOMINATED,9,0.680,0.040,0.720,7.88,168.486,246.42,0.672,125.69,0.442,133.655,193.222,166.770,185.760,52.265,58.778
suborq,28,8,3,1,THAT,3,0.130,0,0.130,0.94,202.453,223.01,0.003,165.88,0.093,218.871,206.008,183.303,165.882,58.310,69.817
suborq,28,8,3,2,SALLY,4,0.460,0,0.460,1.07,203.870,217.26,0.133,198.23,0.322,--undefined--,207.735,200.556,203.722,62.054,66.652
suborq,28,8,3,3,AND,3,0.170,0,0.170,1.53,169.333,175.20,0.099,162.73,0.154,--undefined--,169.216,173.435,165.331,54.051,61.000
suborq,28,8,3,4,LOGAN,5,0.330,0.050,0.380,1.7,159.914,171.47,0.233,142.33,0.193,162.888,157.835,154.910,162.253,58.697,66.151
suborq,28,8,3,5,OR,2,0.100,0,0.100,2.08,153.653,161.09,0.028,143.33,0.097,160.313,158.676,151.669,146.147,52.379,55.628
suborq,28,8,3,6,MOLLY,4,0.340,0,0.340,2.18,150.355,159.71,0.228,133.49,0.340,149.095,150.377,156.258,145.690,57.762,63.402
suborq,28,8,3,7,WERE,2,0.100,0,0.100,2.52,136.802,144.01,0.085,130.79,0.021,132.203,134.489,137.831,142.683,54.913,55.940
suborq,28,8,3,8,THAT,3,0.210,0,0.210,5.53,319.595,321.33,0.083,317.22,0.103,--undefined--,319.881,317.219,--undefined--,49.621,60.891
suborq,28,8,3,9,MARJORIE,6,0.580,0.020,0.600,5.74,175.569,236.95,0.495,136.38,0.125,139.850,155.762,194.055,225.415,55.225,63.034
suborq,28,8,3,10,AND,3,0.120,0.070,0.190,6.34,149.868,158.73,0.053,139.68,0.093,--undefined--,158.060,149.324,140.141,49.960,56.747
suborq,28,8,3,11,LOGAN,5,0.440,0.060,0.500,6.53,161.550,300.16,0.433,139.53,0.153,151.805,142.976,157.185,197.696,51.128,61.000
suborq,28,8,3,12,OR,2,0.120,0.040,0.160,7.03,155.765,165.62,0.037,143.24,0.108,165.103,164.538,153.873,145.219,52.497,56.963
suborq,28,8,3,13,MOLLY,4,0.270,0,0.270,7.19,152.174,186.94,0.253,130.48,0.101,141.795,131.814,152.653,182.436,54.727,58.537
suborq,28,8,3,14,NOMINATED,9,0.660,0.050,0.710,7.59,191.832,315.86,0.628,120.78,0.163,128.192,156.317,210.374,277.335,51.762,60.970
suborq,793,1,1,1,SAID,3,0.350,0,0.350,1.56,196.234,246.13,0.162,126.29,0.022,127.324,239.035,206.138,202.318,59.808,72.765
suborq,793,1,1,2,MARION,6,0.640,0,0.640,1.91,126.514,226.84,0.012,94.14,0.204,196.104,110.956,99.316,102.666,63.230,68.211
suborq,793,1,1,3,OR,2,0.230,0,0.230,2.55,131.568,210.09,0.187,78.46,0.045,94.864,--undefined--,98.655,188.264,62.150,66.595
suborq,793,1,1,4,MARVIN,6,0.510,0,0.510,2.78,176.795,192.41,0,78.48,0.467,188.246,186.014,182.491,147.405,63.086,69.471
suborq,793,1,1,5,AND,3,0.230,0,0.230,3.29,147.544,185.80,0.191,82.49,0.082,--undefined--,88.844,164.332,184.577,59.840,65.432
suborq,793,1,1,6,SARAH,4,0.270,0,0.270,3.52,93.947,99.32,0.192,92.06,0.223,--undefined--,--undefined--,97.536,93.116,66.589,71.227
suborq,793,1,1,7,ARRIVED,4,0.900,0.450,1.350,3.79,125.668,182.26,0.307,74.93,0.447,94.837,151.642,116.345,175.819,65.498,72.099
suborq,793,1,1,8,THAT,3,0.250,0,0.250,5.81,165.029,198.65,0.067,78.89,0.037,140.129,182.811,172.218,--undefined--,68.803,76.357
suborq,793,1,1,9,MARION,6,0.620,0,0.620,6.06,175.804,184.54,0.052,88.89,0.032,164.937,181.620,179.289,175.268,62.855,68.961
suborq,793,1,1,10,OR,2,0.120,0,0.120,6.68,121.864,193.30,0.097,83.25,0.032,83.249,87.923,101.292,180.406,63.099,65.860
suborq,793,1,1,11,MARVIN,6,0.400,0,0.400,6.8,165.422,179.07,0,82.23,0.392,175.757,173.217,168.500,143.530,63.138,69.828
suborq,793,1,1,12,AND,3,0.250,0,0.250,7.2,81.443,83.64,0.122,79.79,0.149,--undefined--,83.469,81.207,81.415,62.523,69.595
suborq,793,1,1,13,NOLAN,5,0.560,0,0.560,7.45,173.516,283.11,0.471,80.24,0.122,82.119,148.282,234.502,274.856,62.562,68.558
suborq,793,1,1,14,ARRIVED,4,0.600,0.050,0.650,8.01,281.609,330.03,0.409,131.44,0.052,217.194,290.046,320.896,--undefined--,61.373,71.851
suborq,793,1,2,1,SAID,3,0.400,0,0.400,2.37,208.460,233.46,0.192,195.56,0.032,203.527,232.075,209.350,201.048,61.909,69.327
suborq,793,1,2,2,MARION,6,0.830,0.040,0.870,2.77,193.031,219.70,0.022,183.30,0.752,192.269,196.379,194.766,186.285,60.196,65.400
suborq,793,1,2,3,OR,2,0.170,0,0.170,3.64,163.549,200.07,0.067,94.52,0.032,94.607,154.789,180.362,180.041,62.076,66.568
suborq,793,1,2,4,SARAH,4,0.740,0,0.740,3.81,188.880,211.63,0.192,178.19,0.012,179.131,194.004,187.327,182.262,62.032,67.745
suborq,793,1,2,5,AND,3,0.150,0,0.150,4.55,89.199,92.62,0.032,86.33,0.092,92.572,91.355,87.561,87.769,61.262,67.574
suborq,793,1,2,6,NOLAN,5,0.440,0,0.440,4.7,154.625,199.07,0.245,77.49,0.117,87.573,169.404,193.484,168.368,57.692,62.330
suborq,793,1,2,7,ARRIVED,4,0.410,0.070,0.480,5.14,103.846,111.68,0.374,83.62,0.122,--undefined--,88.063,--undefined--,109.107,59.399,64.612
suborq,793,1,2,8,THAT,3,0.260,0,0.260,6.71,182.996,230.80,0.072,168.65,0.212,185.696,195.871,173.412,169.077,63.423,73.526
suborq,793,1,2,9,MARION,6,0.700,0,0.700,6.97,169.747,176.97,0.376,87.43,0.612,172.656,173.775,175.631,149.458,58.807,63.493
suborq,793,1,2,10,OR,2,0.130,0,0.130,7.67,175.817,178.45,0.048,172.40,0.130,--undefined--,178.081,175.847,173.861,63.478,65.897
suborq,793,1,2,11,MARVIN,6,0.570,0,0.570,7.8,170.064,176.51,0.387,162.46,0.562,169.998,167.770,171.513,170.973,59.669,68.088
suborq,793,1,2,12,AND,3,0.240,0,0.240,8.37,180.822,191.50,0.139,167.66,0,169.014,184.244,187.328,175.615,54.403,66.181
suborq,793,1,2,13,NOLAN,5,0.450,0,0.450,8.61,183.347,230.24,0.450,160.02,0.126,167.567,162.100,184.922,218.800,58.691,64.596
suborq,793,1,2,14,ARRIVED,4,0.580,0.090,0.670,9.06,224.645,305.79,0.432,115.10,0.157,245.189,138.892,288.528,305.788,57.164,64.743
suborq,793,1,3,1,SAID,3,0.290,0.090,0.380,1.4,193.783,218.53,0,176.32,0.253,211.757,205.601,192.490,181.686,62.937,71.952
suborq,793,1,3,2,SARAH,4,0.730,0.300,1.030,1.78,188.361,307.16,0.713,174.25,0.292,--undefined--,177.981,183.369,207.625,69.746,74.482
suborq,793,1,3,3,OR,2,0.200,0,0.200,2.81,169.330,197.82,0.088,91.11,0.063,--undefined--,140.724,183.775,178.690,64.444,70.759
suborq,793,1,3,4,MARVIN,6,0.630,0,0.630,3.01,178.889,199.42,0.437,166.83,0.152,170.600,174.967,191.835,178.153,62.311,69.818
suborq,793,1,3,5,AND,3,0.300,0,0.300,3.64,137.200,191.26,0.238,86.23,0.187,169.141,--undefined--,89.607,175.896,55.457,66.878
suborq,793,1,3,6,NOLAN,5,0.480,0.050,0.530,3.94,137.182,180.84,0.218,74.51,0.238,175.103,161.410,86.129,88.095,58.700,63.786
suborq,793,1,3,7,ARRIVED,4,0.610,0.500,1.110,4.47,128.129,232.37,0.473,81.51,0.069,88.543,158.242,103.191,222.466,58.959,66.879
suborq,793,1,3,8,THAT,3,0.260,0,0.260,6.22,186.328,206.70,0,167.20,0.203,194.793,189.799,178.269,167.502,65.487,74.851
suborq,793,1,3,9,MARION,6,0.720,0.120,0.840,6.48,146.683,185.86,0.338,88.34,0.135,96.313,122.802,183.423,181.841,61.191,68.994
