word,element_number,duration,relative_duration,discourse,speaker,Mean_F0,Mean_F0_relative,Mean_Intensity,Mean_Intensity_relative
megan,1,0.47999999999999987,1.0591497219637005,suborn_1067_3_1,suborn_1067,191.27911764705883,0.23856174385133833,65.36625,0.38783893609500103
megan,4,0.3899999999999997,0.3784394665118097,suborn_1067_3_1,suborn_1067,186.49,0.030044660406335747,64.95384615384616,0.3208373240903551
megan,4,0.33999999999999986,0.16268021928929455,suborn_1067_3_2,suborn_1067,185.81185185185186,-0.04299132715245969,66.10441176470589,0.557728962045852
megan,1,0.43000000000000005,0.5275880389849243,suborn_1067_3_2,suborn_1067,225.11125,1.0636735075228574,68.49627906976744,0.8774018904979346
megan,4,0.45999999999999996,0.7752615672160144,suborn_1067_3_3,suborn_1067,204.34545454545454,0.38044723622744375,63.963478260869564,0.10029524728541192
megan,1,0.21999999999999997,-1.025498957413221,suborn_1067_4_2,suborn_1067,209.98045454545453,0.5428399283431944,68.80636363636364,0.7940974714007083
megan,2,0.3799999999999999,0.3179381025716447,suborn_1067_3_4,suborn_1067,209.0072972972973,0.619605322445754,65.48368421052632,0.4742048084823214
megan,4,0.20999999999999996,-1.1545576003454254,suborn_1067_4_2,suborn_1067,190.54,-0.06738535207624534,63.22238095238095,0.20671046128360146
megan,2,0.2599999999999998,-0.6269465300928565,suborn_1067_4_4,suborn_1067,194.3452380952381,0.19559109293305874,65.36730769230769,0.5569435368206092
benjamin,2,0.41999999999999993,-0.49788672976232873,suborn_1067_5_1,suborn_1067,224.537,1.0921461293282946,64.50880952380952,0.8012670522014381
benjamin,5,0.4499999999999993,-0.34617820951074285,suborn_1067_5_1,suborn_1067,178.6439393939394,-0.19045738178202953,60.958222222222226,0.07687310626634429
benjamin,2,0.45999999999999974,-0.33908396412104536,suborn_1067_5_3,suborn_1067,200.05,0.3695181925798826,61.129347826086956,0.33958943789583046
benjamin,5,0.47999999999999954,-0.24331758512596835,suborn_1067_5_2,suborn_1067,180.37722222222223,-0.15632920728400482,64.80583333333334,0.42036603137169165
benjamin,3,0.40000000000000036,-0.5712596536493846,suborn_1067_5_4,suborn_1067,188.86095238095237,0.031569467876324614,58.63325,-0.058243518394510946
benjamin,5,0.40000000000000036,-0.5641575105576557,suborn_1067_5_3,suborn_1067,144.7875,-1.118728760370228,58.1835,-0.27728468061213896
benjamin,5,0.45999999999999996,-0.32942461484569097,suborn_1067_6_1,suborn_1067,182.75392857142856,-0.03427622657070728,60.727391304347826,0.11724337003635552
benjamin,2,0.5,-0.19414526832164364,suborn_1067_6_1,suborn_1067,175.37576923076924,-0.22557736769835457,60.132,0.04836734394384128
benjamin,2,0.48,-0.2519572268767194,suborn_1067_6_3,suborn_1067,174.5404,-0.21753519299309734,60.356458333333336,0.07517356641882181
benjamin,5,0.5700000000000003,0.08619018412956017,suborn_1067_6_3,suborn_1067,153.48,-0.8268379395695473,61.33350877192982,0.15619401798118146
benjamin,5,0.6299999999999999,0.3020163061322803,suborn_1067_6_2,suborn_1067,192.11885714285714,0.20226248271919053,61.1884126984127,0.1629281126214297
benjamin,3,0.5800000000000005,0.11691621558821136,suborn_1067_6_4,suborn_1067,174.49806451612903,-0.14410116202897547,61.73879310344827,0.16687598368386133
marjorie,1,0.6100000000000001,0.43630291051363085,suborn_1067_7_2,suborn_1067,211.4663829787234,0.8548934265378054,67.24081967213115,0.35438046069484275
marjorie,4,0.8499999999999996,1.738167734500937,suborn_1067_7_3,suborn_1067,177.09890625,-0.25187449232513226,65.37705882352941,-0.016022349865161115
marjorie,4,0.5300000000000002,0.08243640907758737,suborn_1067_7_2,suborn_1067,166.08731707317074,-0.463545847744506,66.07849056603773,0.2552129251442502
marjorie,1,0.41000000000000003,-0.3648828406348757,suborn_1067_8_2,suborn_1067,205.14432432432432,0.7071425816004723,69.51658536585366,0.6631322285173629
marjorie,2,0.6099999999999999,0.4286787610640843,suborn_1067_7_4,suborn_1067,192.71883720930234,0.1995576542243492,63.80049180327869,-0.2247758203245265
marjorie,4,0.5800000000000001,0.6476683384042755,suborn_1067_8_3,suborn_1067,185.38313725490195,0.11746470840017054,65.87827586206896,0.09317589667711168
logan,5,0.41000000000000014,0.5114193477530524,suborn_1067_7_3,suborn_1067,163.81742857142856,-0.4773141493603184,61.78951219512195,0.15998882722279342
logan,2,0.33999999999999986,-0.06391801971205824,suborn_1067_7_3,suborn_1067,207.52903225806452,0.6140578881254907,64.68470588235294,0.4720980470868716
logan,5,0.3899999999999997,0.10441628633365987,suborn_1067_7_2,suborn_1067,203.49142857142857,0.40287421842335397,65.8928205128205,0.6087237488075864
logan,3,0.33999999999999986,-0.25348328842092616,suborn_1067_7_4,suborn_1067,216.66625,0.8075299486492251,64.24088235294117,0.3860583332559968
logan,5,0.41000000000000014,0.36092246941149186,suborn_1067_8_3,suborn_1067,140.85466666666667,-1.0370912168173079,58.20585365853658,-0.28431993092063934
logan,2,0.48,0.7484726786920497,suborn_1067_8_3,suborn_1067,145.0102564102564,-0.9363442900222116,59.68833333333333,-0.12568879207249295
logan,5,0.7000000000000002,1.6349302994194244,suborn_1067_8_2,suborn_1067,170.7931914893617,-0.36490638040913453,63.774142857142856,0.2480531711421245
logan,3,0.5099999999999998,1.0049083192607158,suborn_1067_8_4,suborn_1067,181.79333333333332,-0.0698652015951079,61.612941176470585,0.0696973541633197
marvin,2,0.3699999999999999,-0.1784127425301389,suborn_1067_1_3,suborn_1067,174.95242424242423,-0.1535221108290082,63.06540540540541,0.13536262308749641
marvin,5,0.41000000000000014,-0.014685303720213205,suborn_1067_1_3,suborn_1067,175.99439024390244,-0.18337617734872372,61.30439024390244,-0.17258295190372205
marvin,3,0.3700000000000001,-0.13363533407914208,suborn_1067_1_4,suborn_1067,194.35054054054055,0.34753761142078166,66.84945945945945,0.6332810396504525
marvin,2,0.47,0.4332410006774024,suborn_1067_2_1,suborn_1067,175.39275,-0.1337369606505371,64.33276595744681,0.4067229820068406
marvin,5,0.40000000000000036,0.034355146673769696,suborn_1067_2_1,suborn_1067,175.87970588235294,-0.13553160289045807,64.78,0.48496483661426126
marvin,5,0.6199999999999992,1.4014697077646348,suborn_1067_2_2,suborn_1067,191.83736842105264,0.3631418498260523,64.995,0.3994880024940196
marvin,2,0.44999999999999996,0.2630837874574078,suborn_1067_2_3,suborn_1067,195.83971428571428,0.38174652176967167,64.89288888888889,0.5630530381391788
marvin,5,0.47999999999999954,0.4469261824508172,suborn_1067_2_3,suborn_1067,152.6510810810811,-0.6937076776795548,63.314375,0.23336177469688085
marvin,3,0.47999999999999954,0.464328563286437,suborn_1067_2_4,suborn_1067,174.48923076923077,-0.12045935753270218,65.8225,0.657186909297573
lauren,2,0.32999999999999985,-0.0257536199554292,suborn_1067_3_1,suborn_1067,182.10208333333333,-0.1510657009667448,60.95484848484848,-0.3001776661530401
lauren,5,0.25,-0.5297123954169317,suborn_1067_3_1,suborn_1067,198.3088,0.2241370802422292,67.0584,0.4196160330362086
lauren,2,0.3599999999999999,0.14480081461305927,suborn_1067_3_3,suborn_1067,218.5765625,0.8055801537479631,63.266666666666666,-0.002302709517156168
lauren,5,0.4300000000000006,0.562680271209054,suborn_1067_3_2,suborn_1067,219.3825,0.7506828266343833,63.62906976744186,-0.016192612296678927
lauren,5,0.3199999999999994,-0.1252625682842235,suborn_1067_3_3,suborn_1067,159.02875,-0.7094160893530844,60.3075,-0.3901367961884147
lauren,3,0.31000000000000005,-0.16204963481783036,suborn_1067_3_4,suborn_1067,240.96192307692309,1.3829424222979003,64.22967741935484,0.13357959494675362
